identificacion,corte_mes,saldo
R6XC1HPW2F2OYGFS2,12/31/2024,3983478
7AQPGU50TED28A7G6,12/31/2024,4163361
EX2GMK7UHXBM6P2OW,7/31/2023,6760569
V1SRV6QGJWWC8JVW0,2/28/2023,1461567
PQHMTD7TS2Q7AM9C6,9/30/2023,4992649
LYQEIHF686T8C6FUH,3/31/2023,4741768
BJSA6PK9IP3QNY0GU,6/30/2024,209548
VZPJAHRX89B2CPA40,5/31/2024,3476983
V2NG3GK779G8J7A0S,2/29/2024,5596444
XT6P8GPRWDSJSYZKR,1/31/2023,3952135
7PLLCJPG8BTDR1ND3,6/30/2024,6041243
5CS7MKN5CCCZTYEH8,2/28/2023,3543527
9IL03MCKH41ZX8EVC,2/29/2024,6228618
XT6P8GPRWDSJSYZKR,6/30/2024,2482169
79KX9A87LHVX4DRM4,11/30/2023,4427164
DJXLPRMY5ZZMANLU6,6/30/2023,3258713
IHBDM8XWHP0LUZ7NR,5/31/2024,3877614
51UQ4XPBN39O7QIOO,5/31/2023,4669229
4M67RWDJ0PY180OMY,6/30/2023,6568608
9DQS2WEXYFKHTNXUB,8/31/2023,6399141
9F27PNL29KIWUI8V1,10/31/2024,131366
ZBRHGSC2D0501QLTX,6/30/2023,1983012
THJ9OBJH3W6ANRCMS,3/31/2024,1690007
FA2OC6FGIMI4S37PU,10/31/2023,6413862
ORSVN3W6R6KI4L6K7,3/31/2023,3414664
C89YVYS8RINE8LHLO,7/31/2024,6695459
VNTN2FOUQHBSVRLKZ,4/30/2023,5865615
LATSV8PKLN0G0XSCQ,5/31/2024,1319144
R6XC1HPW2F2OYGFS2,8/31/2023,4389396
FA2OC6FGIMI4S37PU,12/31/2024,3043809
VHX791SAUG7W7R63P,9/30/2023,2527236
5VVHS1PF81H0K03QN,8/31/2023,2301750
VZPJAHRX89B2CPA40,8/31/2023,1435780
FA2OC6FGIMI4S37PU,3/31/2023,6009181
6RNZ6V20ZBCHCCIPT,9/30/2024,3816558
4HER62QO48L3HOLG6,1/31/2023,4412963
9IL03MCKH41ZX8EVC,12/31/2024,457863
PSRCQ6DW4S2N7175C,7/31/2024,561918
ITDKGZGY3D1CQ22P4,12/31/2023,1920727
977FYO2GIYKZOIEB6,4/30/2024,4002046
ZBRHGSC2D0501QLTX,10/31/2023,558503
VZPJAHRX89B2CPA40,7/31/2023,593466
E0P3U76BSR8JVOEAS,10/31/2024,6656203
VEYQK2P1HT4EDEU8Z,6/30/2024,3713764
0TQ17VI65FDDKT227,4/30/2024,3635460
SUK8675QWKY38XUZB,6/30/2024,5940223
MUIZHHC8NUPU3856X,4/30/2023,6286037
UOHQ6DHPAN7V486JH,7/31/2024,1791439
Z8WH1L99SI8KI6NIV,9/30/2024,1709648
EX2GMK7UHXBM6P2OW,2/29/2024,2984545
4M67RWDJ0PY180OMY,5/31/2023,3919508
E0P3U76BSR8JVOEAS,12/31/2023,562336
9F27PNL29KIWUI8V1,1/31/2024,5506420
VEYQK2P1HT4EDEU8Z,10/31/2023,2822131
SKH4GHZSBWP3QGNNK,3/31/2024,4508032
XYYJ1CS2J4N0KXRG2,9/30/2024,3343241
K7OLAZQZTOKBXBQVR,6/30/2024,3509294
6T645BU8TYM8VGXKO,1/31/2024,1213158
A4JYPUIFCGXQSH8XL,8/31/2023,6220075
BUDE132ZGBWCF5SIZ,4/30/2023,6122084
WI9LBMXJ0YIBEJ357,2/28/2023,4723536
A4JYPUIFCGXQSH8XL,4/30/2024,6139521
7ZQT4ZSYX2JJH3BHK,1/31/2024,835914
VZPJAHRX89B2CPA40,3/31/2023,411449
QNCADSU9WB6X6JEXE,8/31/2024,1268067
QNCADSU9WB6X6JEXE,3/31/2023,747078
FBMRRTAV36KC40D1Z,11/30/2024,1945215
Z8WH1L99SI8KI6NIV,7/31/2024,4005707
XEVZL0LOYONKMBWZY,12/31/2023,1603099
WI9LBMXJ0YIBEJ357,11/30/2024,3696747
6RNZ6V20ZBCHCCIPT,5/31/2023,4216972
DJXLPRMY5ZZMANLU6,3/31/2023,6761385
7ZQT4ZSYX2JJH3BHK,1/31/2023,6541645
XYYJ1CS2J4N0KXRG2,10/31/2023,5268388
V1SRV6QGJWWC8JVW0,9/30/2024,5414496
A4LKAXWACFA995KE1,5/31/2024,4225014
9Y4LCJDQLDU43LOK4,6/30/2023,4328264
9G2XZ3XNAY7J6KTJN,11/30/2023,6793776
NYD2J0FAEI05SQVAY,11/30/2023,617102
RRS0030J6RHTUQ2RK,6/30/2023,6534856
BOWGL6ZFJ8V4E620T,5/31/2024,2703341
XTUS49QJ4P8A8OCOB,2/29/2024,2462534
9DQS2WEXYFKHTNXUB,9/30/2023,5170230
FXIQJ8T0RNKU5YYZL,9/30/2024,2927372
OL2AN4Q8PF7T5DNJA,1/31/2023,761403
X4YOXMSTBUXXCUOGK,2/29/2024,58799
9IL03MCKH41ZX8EVC,4/30/2024,386175
JTZWA92S5243CPZDG,5/31/2023,5435018
D7UUQ6CP4DWYGZF0Z,2/29/2024,1314063
6T645BU8TYM8VGXKO,7/31/2023,4511307
3QWPW0GFU2JIA5UE4,1/31/2023,922210
XT6P8GPRWDSJSYZKR,5/31/2024,4303200
UOHQ6DHPAN7V486JH,2/28/2023,3185729
OBPVWFPY1GIGMACGG,2/28/2023,4632905
OL2AN4Q8PF7T5DNJA,6/30/2023,5717030
5CS7MKN5CCCZTYEH8,3/31/2024,4873734
VZPJAHRX89B2CPA40,3/31/2024,5830309
4TL0TI5WAALM6P0AH,6/30/2023,5287811
PSRCQ6DW4S2N7175C,5/31/2024,1261054
H9QCKG6XB01NQCZO9,4/30/2023,5250210
Y6PZ8ICUVSNUUVGC6,4/30/2024,5557899
A4JYPUIFCGXQSH8XL,10/31/2024,6633254
83Y10YDW1OI06N9ZM,3/31/2023,5126569
DJXLPRMY5ZZMANLU6,3/31/2024,2975447
ZBRHGSC2D0501QLTX,12/31/2024,543705
DWJ0GFUKS12L7Y0G9,6/30/2024,2027872
5VVHS1PF81H0K03QN,1/31/2023,4340532
RRS0030J6RHTUQ2RK,10/31/2024,69544
OJQZJBSXV2EELB04H,4/30/2024,4812141
V2NG3GK779G8J7A0S,3/31/2024,2177663
7AQPGU50TED28A7G6,1/31/2023,6587920
Y9LTUSGD9M83VAB0I,8/31/2023,3063282
ZBRHGSC2D0501QLTX,7/31/2024,5817092
LATSV8PKLN0G0XSCQ,3/31/2023,4957517
5VVHS1PF81H0K03QN,9/30/2023,4791269
XRD31U4F7GM99U92O,1/31/2024,5374090
N28ZTD9G5EYTS9PZY,8/31/2023,3557216
7AQPGU50TED28A7G6,8/31/2024,5137444
SUK8675QWKY38XUZB,4/30/2024,3124542
UP8K03IYUM8HZ8NLC,4/30/2023,1718676
2XCK13Y6KY3FTUJ0T,12/31/2024,5579191
5CS7MKN5CCCZTYEH8,5/31/2024,1731576
U5I6FRV4Z2WTHAYXA,11/30/2024,6888962
BQLAQGMLUN5Y6VU3U,3/31/2023,4432478
XTUS49QJ4P8A8OCOB,11/30/2024,1742866
HDTGP1H5F336COXZX,1/31/2023,4505190
T3ZXYYXXBKASGDXYG,10/31/2023,2632652
R7Q4Z9AULIORDJQ9D,10/31/2024,1030893
SUK8675QWKY38XUZB,1/31/2023,357685
LMHCV45KAJNLAV6CI,9/30/2023,2544491
VZPJAHRX89B2CPA40,4/30/2024,1080392
UOHQ6DHPAN7V486JH,4/30/2023,964235
J899WRG0VOOF1WON0,12/31/2024,3952255
1MFXZRYV4MFOBXIAJ,9/30/2024,4847311
SUK8675QWKY38XUZB,5/31/2023,3424427
BJ37EOP5EGMDLO3MP,5/31/2023,6247531
FBMRRTAV36KC40D1Z,1/31/2024,3485300
51UQ4XPBN39O7QIOO,6/30/2023,74474
WI9LBMXJ0YIBEJ357,3/31/2024,5549815
375WULANW2HVOVK5J,5/31/2023,2575511
BOWGL6ZFJ8V4E620T,6/30/2023,189576
NDN0JWDWD4PJPHKO9,11/30/2023,4516345
4TL0TI5WAALM6P0AH,7/31/2023,4225103
Z4HM8TL716AK8U17L,4/30/2024,1116790
KLRH1ZESF492S056H,6/30/2024,4238478
WLHSCECOGSRZSUK44,6/30/2023,5655300
HDTGP1H5F336COXZX,3/31/2024,326793
WI9LBMXJ0YIBEJ357,2/29/2024,5541241
VZPJAHRX89B2CPA40,2/28/2023,71323
V1SRV6QGJWWC8JVW0,5/31/2023,2929534
3PS05CCLIJVJ8J2KT,10/31/2024,6635528
C89YVYS8RINE8LHLO,12/31/2024,2714988
OQ5Y6DD3YNNZYDOK7,10/31/2024,6839245
7PLLCJPG8BTDR1ND3,8/31/2023,1643912
5P7TLU9HROJCCH8XF,9/30/2024,4905486
9IL03MCKH41ZX8EVC,7/31/2024,935120
R7Q4Z9AULIORDJQ9D,10/31/2023,3675288
FDS0N1SJL1R9K1IB4,8/31/2023,2719900
V2NG3GK779G8J7A0S,12/31/2023,4675517
X4YOXMSTBUXXCUOGK,2/28/2023,2521681
ORSVN3W6R6KI4L6K7,5/31/2024,530502
5SKDNN35BDFYCRZ3T,7/31/2023,4613983
OBPVWFPY1GIGMACGG,12/31/2024,1726640
VEYQK2P1HT4EDEU8Z,11/30/2024,5041564
